Date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other,BTC Returns,ETH Returns,XRP Returns
2018-05-29,-0.08,-0.76,-0.22,0.86,-0.45,-0.04,-0.27,0.27,-0.11,-0.64,-1.12,-0.27,-1.98820322538306,-0.4087916108852,0.09513283322679
2018-05-30,0.57,0.74,1.21,2.94,1.17,0.58,0.7,1.27,1.06,1.16,0.94,1.0,-3.37084851061746,-6.549084636197911,-6.60752338498465
2018-05-31,-1.15,-0.86,-1.13,-1.32,-1.2,-0.21,-1.25,-0.39,-0.97,0.81,-0.44,-0.63,-4.58450475862155,-8.13040331954839,-3.59421794275214
2018-06-01,0.83,0.55,0.81,-0.66,0.46,1.14,0.8,-1.1,0.46,0.77,0.88,0.92,1.5503551724572,-0.85244817738698,0.01470734143866
2018-06-04,0.57,0.13,0.52,-2.69,-0.09,0.42,0.26,-0.61,1.09,-0.91,0.42,-0.18,-9.91617034794232,-13.51419308559344,-11.50358492869741
2018-06-05,0.69,1.27,0.96,0.37,1.19,1.05,0.21,-0.58,1.43,1.22,0.36,0.75,-3.8402412643674597,2.24811441467134,-0.3804477208619
2018-06-06,-0.04,0.71,0.49,-0.21,1.03,0.3,0.9,-1.54,0.44,0.66,0.65,0.45,1.20469522459418,0.45914981038494995,0.54713476838799
2018-06-07,0.1,0.48,0.18,2.18,-0.32,-0.66,0.27,0.5,0.42,-0.78,0.13,0.02,-1.85415146519809,-4.25014719689311,-5.32289566939049
2018-06-08,0.69,-0.08,-0.15,-1.43,0.15,0.07,0.49,-0.31,0.41,0.67,0.01,0.19,3.5003181497758695,1.7960662634068698,3.2174069095562
2018-06-11,0.76,0.8,0.52,0.88,0.72,0.38,1.11,-0.31,0.8,0.2,-0.25,0.6,5.25579588439786,7.88458783479304,11.45543693202657
2018-06-12,0.41,0.35,0.01,0.28,-0.26,0.58,0.65,1.03,0.32,0.39,-0.37,0.28,-8.07753681979956,-8.719265047673069,-10.109058283510949
2018-06-13,-0.47,-0.3,-0.81,-0.03,-0.74,0.11,0.21,-0.14,-0.73,-0.13,-0.01,-0.67,-0.61818819628367,0.70662063590807,-1.16221275451012
2018-06-14,0.18,0.02,-0.01,-0.88,0.2,0.53,1.7,0.94,0.19,0.51,-0.06,0.41,-2.57140360451562,-3.37836901622314,-3.9068072802874996
2018-06-15,0.83,0.27,-0.39,-2.46,-0.14,-0.22,1.12,0.31,0.68,0.43,0.16,0.01,4.1403974915207895,4.05876326358951,2.40034449342225
2018-06-18,0.05,0.64,0.34,1.74,3.28,0.36,0.04,0.83,0.62,-0.38,0.26,0.12,1.6268081926749298,3.94327754170791,2.5685243217818
2018-06-19,-0.11,-0.82,-0.98,0.37,-0.41,-0.32,-0.03,1.11,0.1,0.07,0.29,-0.55,-3.5991929738867703,-0.4948701775379,-1.7072380508821299
2018-06-20,1.12,0.77,0.83,1.27,-0.2,0.69,1.05,0.2,0.64,0.89,0.27,0.89,0.9456851084145,3.9437854643193404,0.01545087938226
2018-06-21,-0.69,-1.54,-1.33,-2.66,-1.17,-1.24,-1.75,-0.03,-0.23,-1.81,-0.51,-0.52,1.954129525744,3.93416343037362,9.67107736271819
2018-06-22,0.52,0.17,0.66,3.32,0.68,-0.46,0.63,0.68,0.15,0.31,0.19,0.06,13.21595734714284,14.493659064916308,16.53938077486056
2018-06-25,-0.38,-1.54,-0.88,-2.59,-1.05,-1.97,-0.97,0.71,-1.2,-2.11,-0.9,-1.03,0.08505194964667,-0.04179489349483,1.48710863466652
2018-06-26,0.54,1.19,0.78,2.58,0.09,0.89,1.06,0.3,0.6,0.58,0.01,0.66,1.14337298927718,1.7743841485847198,-0.9251005317634999
2018-06-27,2.79,-1.63,-1.22,8.17,-1.0,-2.0,-1.26,0.02,-1.32,-3.14,-1.59,-1.56,4.2932607475504,6.02699016353696,7.964445242294
